traing iter: 6, test accuracy : 0.6399728655815125, loss : 1.4386690855026245
traing iter: 7, test accuracy : 0.6830675005912781, loss : 1.339457631111145
traing iter: 8, test accuracy : 0.6986766457557678, loss : 1.2730486392974854
traing iter: 9, test accuracy : 0.7047845125198364, loss : 1.2244036197662354
traing iter: 10, test accuracy : 0.72785884141922, loss : 1.2034201622009277
traing iter: 11, test accuracy : 0.740074634552002, loss : 1.1879932880401611
traing iter: 12, test accuracy : 0.7410926222801208, loss : 1.1674143075942993
traing iter: 13, test accuracy : 0.7726501822471619, loss : 1.1234896183013916
traing iter: 14, test accuracy : 0.7807940244674683, loss : 1.1056537628173828
traing iter: 15, test accuracy : 0.7373600006103516, loss : 1.1903789043426514
traing iter: 16, test accuracy : 0.7689175605773926, loss : 1.1255900859832764
traing iter: 17, test accuracy : 0.7807940244674683, loss : 1.1306297779083252
traing iter: 18, test accuracy : 0.7858839631080627, loss : 1.1005175113677979
traing iter: 19, test accuracy : 0.7953851222991943, loss : 1.0922791957855225
traing iter: 20, test accuracy : 0.8065829873085022, loss : 1.0458590984344482
traing iter: 21, test accuracy : 0.829657256603241, loss : 1.043372631072998
traing iter: 22, test accuracy : 0.8350865244865417, loss : 1.0260595083236694
traing iter: 23, test accuracy : 0.8171021342277527, loss : 1.0480914115905762
traing iter: 24, test accuracy : 0.8530709147453308, loss : 0.9545074701309204
traing iter: 25, test accuracy : 0.8361045122146606, loss : 1.0118945837020874
traing iter: 26, test accuracy : 0.8513742685317993, loss : 0.9504481554031372
traing iter: 27, test accuracy : 0.8333898782730103, loss : 0.9978774785995483
traing iter: 28, test accuracy : 0.8418731093406677, loss : 0.9633296728134155
traing iter: 29, test accuracy : 0.833050549030304, loss : 1.0085208415985107
traing iter: 30, test accuracy : 0.8449270725250244, loss : 0.9763497710227966
traing iter: 31, test accuracy : 0.861214816570282, loss : 0.947316586971283
traing iter: 32, test accuracy : 0.8496776223182678, loss : 0.9328004121780396
traing iter: 33, test accuracy : 0.8601968288421631, loss : 0.9201812744140625
traing iter: 34, test accuracy : 0.8547675609588623, loss : 0.9432716965675354
traing iter: 35, test accuracy : 0.8493382930755615, loss : 0.940416693687439
traing iter: 36, test accuracy : 0.8496776223182678, loss : 0.9711146354675293
traing iter: 37, test accuracy : 0.8581608533859253, loss : 0.9355392456054688
traing iter: 38, test accuracy : 0.8673226833343506, loss : 0.8976444005966187
traing iter: 39, test accuracy : 0.8618934750556946, loss : 0.9172037243843079
traing iter: 40, test accuracy : 0.8622328042984009, loss : 0.9290705919265747
traing iter: 41, test accuracy : 0.8608754873275757, loss : 0.9627746343612671
traing iter: 42, test accuracy : 0.8228707313537598, loss : 1.0522093772888184
traing iter: 43, test accuracy : 0.7417712807655334, loss : 1.444862961769104
traing iter: 44, test accuracy : 0.7974210977554321, loss : 1.0511152744293213
traing iter: 45, test accuracy : 0.8808958530426025, loss : 0.86124587059021
