/usr/bin/python3.5 /home/david/PycharmProjects/TestPycharm/questionSoftmax0816.py
Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
WARNING:tensorflow:From /usr/local/lib/python3.5/dist-packages/tensorflow/python/util/tf_should_use.py:175: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
2017-10-16 14:58:00.010721: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-10-16 14:58:00.010751: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-10-16 14:58:00.010760: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
WARNING:tensorflow:From /usr/local/lib/python3.5/dist-packages/tensorflow/python/util/tf_should_use.py:175: initialize_all_variables (from tensorflow.python.ops.variables) is deprecated and will be removed after 2017-03-02.
Instructions for updating:
Use `tf.global_variables_initializer` instead.
step 0, training accuracy :0.22
step 1, training accuracy :0.14
step 2, training accuracy :0.14
step 3, training accuracy :0.3
step 4, training accuracy :0.24
step 5, training accuracy :0.28
step 6, training accuracy :0.2
step 7, training accuracy :0.28
step 8, training accuracy :0.2
step 9, training accuracy :0.22
step 10, training accuracy :0.26
step 11, training accuracy :0.3
step 12, training accuracy :0.24
step 13, training accuracy :0.28
step 14, training accuracy :0.4
step 15, training accuracy :0.46
step 16, training accuracy :0.52
step 17, training accuracy :0.5
step 18, training accuracy :0.48
step 19, training accuracy :0.56
step 20, training accuracy :0.54
step 21, training accuracy :0.44
step 22, training accuracy :0.6
step 23, training accuracy :0.56
step 24, training accuracy :0.5
step 25, training accuracy :0.6
step 26, training accuracy :0.62
step 27, training accuracy :0.52
step 28, training accuracy :0.58
step 29, training accuracy :0.74
step 30, training accuracy :0.76
step 31, training accuracy :0.64
step 32, training accuracy :0.7
step 33, training accuracy :0.72
step 34, training accuracy :0.68
step 35, training accuracy :0.78
step 36, training accuracy :0.66
step 37, training accuracy :0.72
step 38, training accuracy :0.72
step 39, training accuracy :0.72
step 40, training accuracy :0.78
step 41, training accuracy :0.68
step 42, training accuracy :0.8
step 43, training accuracy :0.72
step 44, training accuracy :0.72
step 45, training accuracy :0.76
step 46, training accuracy :0.76
step 47, training accuracy :0.74
step 48, training accuracy :0.8
step 49, training accuracy :0.74
step 50, training accuracy :0.68
step 51, training accuracy :0.78
step 52, training accuracy :0.82
step 53, training accuracy :0.78
step 54, training accuracy :0.7
step 55, training accuracy :0.8
step 56, training accuracy :0.86
step 57, training accuracy :0.82
step 58, training accuracy :0.86
step 59, training accuracy :0.78
step 60, training accuracy :0.78
step 61, training accuracy :0.78
step 62, training accuracy :0.86
step 63, training accuracy :0.7
step 64, training accuracy :0.84
step 65, training accuracy :0.9
step 66, training accuracy :0.86
step 67, training accuracy :0.88
step 68, training accuracy :0.84
step 69, training accuracy :0.84
step 70, training accuracy :0.74
step 71, training accuracy :0.82
step 72, training accuracy :0.82
step 73, training accuracy :0.8
step 74, training accuracy :0.78
step 75, training accuracy :0.92
step 76, training accuracy :0.92
step 77, training accuracy :0.9
step 78, training accuracy :0.8
step 79, training accuracy :0.9
step 80, training accuracy :0.86
step 81, training accuracy :0.72
step 82, training accuracy :0.86
step 83, training accuracy :0.84
step 84, training accuracy :0.72
step 85, training accuracy :0.86
step 86, training accuracy :0.86
step 87, training accuracy :0.9
step 88, training accuracy :0.86
step 89, training accuracy :0.7
step 90, training accuracy :0.88
step 91, training accuracy :0.82
step 92, training accuracy :0.9
step 93, training accuracy :0.82
step 94, training accuracy :0.92
step 95, training accuracy :0.86
step 96, training accuracy :0.72
step 97, training accuracy :0.82
step 98, training accuracy :0.82
step 99, training accuracy :0.9
step 100, training accuracy :0.92
step 101, training accuracy :0.88
step 102, training accuracy :0.92
step 103, training accuracy :0.88
step 104, training accuracy :0.84
step 105, training accuracy :0.86
step 106, training accuracy :0.86
step 107, training accuracy :0.9
step 108, training accuracy :0.88
step 109, training accuracy :0.96
step 110, training accuracy :0.78
step 111, training accuracy :0.9
step 112, training accuracy :0.74
step 113, training accuracy :0.82
step 114, training accuracy :0.88
step 115, training accuracy :0.86
step 116, training accuracy :0.88
step 117, training accuracy :0.86
step 118, training accuracy :0.88
step 119, training accuracy :0.86
step 120, training accuracy :0.8
step 121, training accuracy :0.88
step 122, training accuracy :0.8
step 123, training accuracy :0.76
step 124, training accuracy :0.94
step 125, training accuracy :0.94
step 126, training accuracy :0.94
step 127, training accuracy :0.88
step 128, training accuracy :0.88
step 129, training accuracy :0.82
step 130, training accuracy :0.82
step 131, training accuracy :0.86
step 132, training accuracy :0.82
step 133, training accuracy :0.88
step 134, training accuracy :0.92
step 135, training accuracy :0.82
step 136, training accuracy :0.9
step 137, training accuracy :0.9
step 138, training accuracy :0.96
step 139, training accuracy :0.88
step 140, training accuracy :0.86
step 141, training accuracy :0.9
step 142, training accuracy :0.86
step 143, training accuracy :0.84
step 144, training accuracy :0.9
step 145, training accuracy :0.86
step 146, training accuracy :0.76
step 147, training accuracy :0.94
step 148, training accuracy :0.88
step 149, training accuracy :0.92
step 150, training accuracy :0.88
step 151, training accuracy :0.9
step 152, training accuracy :0.9
step 153, training accuracy :0.94
step 154, training accuracy :0.92
step 155, training accuracy :0.86
step 156, training accuracy :0.84
step 157, training accuracy :0.86
step 158, training accuracy :0.82
step 159, training accuracy :0.96
step 160, training accuracy :0.86
step 161, training accuracy :0.96
step 162, training accuracy :0.92
step 163, training accuracy :0.9
step 164, training accuracy :0.9
step 165, training accuracy :0.92
step 166, training accuracy :0.9
step 167, training accuracy :0.92
step 168, training accuracy :0.94
step 169, training accuracy :0.88
step 170, training accuracy :0.94
step 171, training accuracy :0.86
step 172, training accuracy :0.94
step 173, training accuracy :0.86
step 174, training accuracy :0.82
step 175, training accuracy :0.96
step 176, training accuracy :0.94
step 177, training accuracy :0.94
step 178, training accuracy :0.86
step 179, training accuracy :0.88
step 180, training accuracy :0.88
step 181, training accuracy :0.86
step 182, training accuracy :0.94
step 183, training accuracy :0.86
step 184, training accuracy :0.92
step 185, training accuracy :0.82
step 186, training accuracy :0.82
step 187, training accuracy :0.86
step 188, training accuracy :0.86
step 189, training accuracy :0.88
step 190, training accuracy :0.92
step 191, training accuracy :0.96
step 192, training accuracy :0.94
step 193, training accuracy :0.86
step 194, training accuracy :0.8
step 195, training accuracy :0.9
step 196, training accuracy :0.92
step 197, training accuracy :0.9
step 198, training accuracy :0.8
step 199, training accuracy :0.84
step 200, training accuracy :0.92
step 201, training accuracy :0.92
step 202, training accuracy :0.94
step 203, training accuracy :0.92
step 204, training accuracy :0.86
step 205, training accuracy :0.84
step 206, training accuracy :0.92
step 207, training accuracy :0.84
step 208, training accuracy :0.9
step 209, training accuracy :0.88
step 210, training accuracy :0.92
step 211, training accuracy :0.9
step 212, training accuracy :0.92
step 213, training accuracy :0.86
step 214, training accuracy :0.98
step 215, training accuracy :0.9
step 216, training accuracy :0.84
step 217, training accuracy :0.92
step 218, training accuracy :0.92
step 219, training accuracy :0.82
step 220, training accuracy :0.96
step 221, training accuracy :0.82
step 222, training accuracy :0.94
step 223, training accuracy :0.9
step 224, training accuracy :0.88
step 225, training accuracy :0.86
step 226, training accuracy :0.92
step 227, training accuracy :0.92
step 228, training accuracy :0.88
step 229, training accuracy :0.88
step 230, training accuracy :0.96
step 231, training accuracy :0.84
step 232, training accuracy :0.86
step 233, training accuracy :0.9
step 234, training accuracy :0.94
step 235, training accuracy :0.92
step 236, training accuracy :0.98
step 237, training accuracy :0.94
step 238, training accuracy :0.88
step 239, training accuracy :0.96
step 240, training accuracy :0.9
step 241, training accuracy :0.9
step 242, training accuracy :0.84
step 243, training accuracy :0.94
step 244, training accuracy :0.96
step 245, training accuracy :0.98
step 246, training accuracy :0.94
step 247, training accuracy :0.88
step 248, training accuracy :0.86
step 249, training accuracy :0.88
step 250, training accuracy :0.94
step 251, training accuracy :0.84
step 252, training accuracy :0.94
step 253, training accuracy :0.96
step 254, training accuracy :0.96
step 255, training accuracy :0.84
step 256, training accuracy :0.96
step 257, training accuracy :0.92
step 258, training accuracy :0.96
step 259, training accuracy :0.9
step 260, training accuracy :0.96
step 261, training accuracy :0.88
step 262, training accuracy :0.88
step 263, training accuracy :0.96
step 264, training accuracy :0.92
step 265, training accuracy :0.9
step 266, training accuracy :0.94
step 267, training accuracy :0.92
step 268, training accuracy :0.88
step 269, training accuracy :0.78
step 270, training accuracy :0.94
step 271, training accuracy :0.94
step 272, training accuracy :0.92
step 273, training accuracy :0.84
step 274, training accuracy :0.96
step 275, training accuracy :0.9
step 276, training accuracy :0.86
step 277, training accuracy :0.96
step 278, training accuracy :0.9
step 279, training accuracy :0.86
step 280, training accuracy :0.88
step 281, training accuracy :0.94
step 282, training accuracy :0.92
step 283, training accuracy :0.94
step 284, training accuracy :0.94
step 285, training accuracy :0.96
step 286, training accuracy :0.98
step 287, training accuracy :0.88
step 288, training accuracy :0.92
step 289, training accuracy :0.96
step 290, training accuracy :0.9
step 291, training accuracy :0.94
step 292, training accuracy :0.96
step 293, training accuracy :0.92
step 294, training accuracy :0.88
step 295, training accuracy :0.84
step 296, training accuracy :0.9
step 297, training accuracy :0.98
step 298, training accuracy :0.88
step 299, training accuracy :0.92
step 300, training accuracy :0.94
step 301, training accuracy :0.98
step 302, training accuracy :0.88
step 303, training accuracy :0.92
step 304, training accuracy :0.92
step 305, training accuracy :0.96
step 306, training accuracy :0.94
step 307, training accuracy :0.92
step 308, training accuracy :0.92
step 309, training accuracy :0.92
step 310, training accuracy :0.92
step 311, training accuracy :0.94
step 312, training accuracy :0.96
step 313, training accuracy :0.98
step 314, training accuracy :0.96
step 315, training accuracy :0.8
step 316, training accuracy :0.9
step 317, training accuracy :0.8
step 318, training accuracy :0.96
step 319, training accuracy :0.98
step 320, training accuracy :0.98
step 321, training accuracy :0.92
step 322, training accuracy :0.94
step 323, training accuracy :0.96
step 324, training accuracy :0.9
step 325, training accuracy :0.98
step 326, training accuracy :0.9
step 327, training accuracy :0.94
step 328, training accuracy :0.94
step 329, training accuracy :0.94
step 330, training accuracy :0.9
step 331, training accuracy :0.9
step 332, training accuracy :0.92
step 333, training accuracy :0.96
step 334, training accuracy :0.88
step 335, training accuracy :0.82
step 336, training accuracy :0.92
step 337, training accuracy :0.92
step 338, training accuracy :0.88
step 339, training accuracy :0.94
step 340, training accuracy :0.94
step 341, training accuracy :0.96
step 342, training accuracy :0.96
step 343, training accuracy :0.92
step 344, training accuracy :0.92
step 345, training accuracy :0.94
step 346, training accuracy :0.9
step 347, training accuracy :0.9
step 348, training accuracy :0.96
step 349, training accuracy :0.82
step 350, training accuracy :0.98
step 351, training accuracy :0.98
step 352, training accuracy :0.94
step 353, training accuracy :0.94
step 354, training accuracy :0.94
step 355, training accuracy :0.96
step 356, training accuracy :0.96
step 357, training accuracy :0.94
step 358, training accuracy :0.92
step 359, training accuracy :0.96
step 360, training accuracy :0.92
step 361, training accuracy :0.9
step 362, training accuracy :1.0
step 363, training accuracy :0.94
step 364, training accuracy :0.96
step 365, training accuracy :0.92
step 366, training accuracy :0.86
step 367, training accuracy :0.94
step 368, training accuracy :0.92
step 369, training accuracy :0.82
step 370, training accuracy :0.92
step 371, training accuracy :0.98
step 372, training accuracy :0.88
step 373, training accuracy :0.9
step 374, training accuracy :0.92
step 375, training accuracy :0.94
step 376, training accuracy :0.94
step 377, training accuracy :0.98
step 378, training accuracy :0.98
step 379, training accuracy :0.92
step 380, training accuracy :0.94
step 381, training accuracy :0.9
step 382, training accuracy :0.9
step 383, training accuracy :0.92
step 384, training accuracy :0.9
step 385, training accuracy :0.92
step 386, training accuracy :0.84
step 387, training accuracy :0.98
step 388, training accuracy :0.92
step 389, training accuracy :0.96
step 390, training accuracy :0.9
step 391, training accuracy :0.94
step 392, training accuracy :0.86
step 393, training accuracy :0.92
step 394, training accuracy :0.92
step 395, training accuracy :0.96
step 396, training accuracy :0.92
step 397, training accuracy :0.92
step 398, training accuracy :0.96
step 399, training accuracy :0.86
step 400, training accuracy :0.92
step 401, training accuracy :0.92
step 402, training accuracy :0.9
step 403, training accuracy :0.96
step 404, training accuracy :0.88
step 405, training accuracy :0.94
step 406, training accuracy :0.94
step 407, training accuracy :0.96
step 408, training accuracy :0.98
step 409, training accuracy :0.94
step 410, training accuracy :0.86
step 411, training accuracy :0.94
step 412, training accuracy :0.96
step 413, training accuracy :0.9
step 414, training accuracy :0.92
step 415, training accuracy :0.98
step 416, training accuracy :0.96
step 417, training accuracy :0.86
step 418, training accuracy :0.92
step 419, training accuracy :0.9
step 420, training accuracy :0.94
step 421, training accuracy :0.96
step 422, training accuracy :0.86
step 423, training accuracy :0.94
step 424, training accuracy :0.94
step 425, training accuracy :0.9
step 426, training accuracy :0.94
step 427, training accuracy :0.92
step 428, training accuracy :0.9
step 429, training accuracy :0.98
step 430, training accuracy :0.96
step 431, training accuracy :0.9
step 432, training accuracy :0.92
step 433, training accuracy :0.94
step 434, training accuracy :0.92
step 435, training accuracy :0.94
step 436, training accuracy :0.96
step 437, training accuracy :0.94
step 438, training accuracy :0.9
step 439, training accuracy :0.9
step 440, training accuracy :1.0
step 441, training accuracy :0.98
step 442, training accuracy :0.92
step 443, training accuracy :0.86
step 444, training accuracy :0.96
step 445, training accuracy :0.88
step 446, training accuracy :0.96
step 447, training accuracy :0.92
step 448, training accuracy :0.98
step 449, training accuracy :0.96
step 450, training accuracy :0.94
step 451, training accuracy :0.96
step 452, training accuracy :0.98
step 453, training accuracy :0.92
step 454, training accuracy :0.92
step 455, training accuracy :0.96
step 456, training accuracy :0.94
step 457, training accuracy :0.88
step 458, training accuracy :0.96
step 459, training accuracy :0.96
step 460, training accuracy :0.9
step 461, training accuracy :0.96
step 462, training accuracy :0.94
step 463, training accuracy :0.9
step 464, training accuracy :0.94
step 465, training accuracy :0.94
step 466, training accuracy :0.9
step 467, training accuracy :0.92
step 468, training accuracy :0.94
step 469, training accuracy :0.92
step 470, training accuracy :0.98
step 471, training accuracy :0.9
step 472, training accuracy :0.94
step 473, training accuracy :0.98
step 474, training accuracy :0.94
step 475, training accuracy :0.94
step 476, training accuracy :0.94
step 477, training accuracy :0.92
step 478, training accuracy :0.92
step 479, training accuracy :0.98
step 480, training accuracy :0.92
step 481, training accuracy :0.9
step 482, training accuracy :0.92
step 483, training accuracy :0.94
step 484, training accuracy :0.86
step 485, training accuracy :0.92
step 486, training accuracy :0.92
step 487, training accuracy :0.9
step 488, training accuracy :0.98
step 489, training accuracy :0.94
step 490, training accuracy :0.94
step 491, training accuracy :0.94
step 492, training accuracy :0.92
step 493, training accuracy :0.9
step 494, training accuracy :0.98
step 495, training accuracy :0.94
step 496, training accuracy :0.96
step 497, training accuracy :0.86
