/usr/bin/python3.5 /home/david/PycharmProjects/TestPycharm/testDeepMnist0816.py
Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
2017-10-16 09:17:50.019757: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
2017-10-16 09:17:50.019787: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
2017-10-16 09:17:50.019795: W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
step 0,train accracy 0.22
step 100,train accracy 0.82
step 200,train accracy 0.96
step 300,train accracy 0.9
step 400,train accracy 0.88
step 500,train accracy 0.94
step 600,train accracy 0.96
step 700,train accracy 0.84
step 800,train accracy 0.96
step 900,train accracy 0.92
step 1000,train accracy 0.94
step 1100,train accracy 0.96
step 1200,train accracy 1
step 1300,train accracy 0.96
step 1400,train accracy 0.94
step 1500,train accracy 0.98
step 1600,train accracy 0.92
step 1700,train accracy 0.94
step 1800,train accracy 0.96
step 1900,train accracy 1
step 2000,train accracy 0.96
step 2100,train accracy 1
step 2200,train accracy 0.96
step 2300,train accracy 0.98
step 2400,train accracy 1
step 2500,train accracy 0.98
step 2600,train accracy 0.98
step 2700,train accracy 0.98
step 2800,train accracy 0.98
step 2900,train accracy 0.96
step 3000,train accracy 1
step 3100,train accracy 0.98
step 3200,train accracy 1
step 3300,train accracy 1
step 3400,train accracy 0.98
step 3500,train accracy 0.98
step 3600,train accracy 1
step 3700,train accracy 1
step 3800,train accracy 0.98
step 3900,train accracy 0.98
step 4000,train accracy 1
step 4100,train accracy 1
step 4200,train accracy 0.96
step 4300,train accracy 0.96
step 4400,train accracy 1
step 4500,train accracy 0.98
step 4600,train accracy 1
step 4700,train accracy 1
step 4800,train accracy 0.98
step 4900,train accracy 0.98
step 5000,train accracy 1
step 5100,train accracy 0.96
step 5200,train accracy 0.98
step 5300,train accracy 1
step 5400,train accracy 1
step 5500,train accracy 0.98
step 5600,train accracy 0.98
step 5700,train accracy 1
step 5800,train accracy 0.96
step 5900,train accracy 1
step 6000,train accracy 1
step 6100,train accracy 0.98
step 6200,train accracy 0.96
step 6300,train accracy 0.98
step 6400,train accracy 1
step 6500,train accracy 0.96
step 6600,train accracy 0.98
step 6700,train accracy 1
step 6800,train accracy 1
step 6900,train accracy 0.98
step 7000,train accracy 1
step 7100,train accracy 1
step 7200,train accracy 1
step 7300,train accracy 0.96
step 7400,train accracy 0.98
step 7500,train accracy 1
step 7600,train accracy 1
step 7700,train accracy 1
step 7800,train accracy 1
step 7900,train accracy 1
step 8000,train accracy 1
step 8100,train accracy 0.98
step 8200,train accracy 0.96
step 8300,train accracy 1
step 8400,train accracy 1
step 8500,train accracy 1
step 8600,train accracy 1
step 8700,train accracy 1
step 8800,train accracy 1
step 8900,train accracy 1
step 9000,train accracy 1
step 9100,train accracy 1
step 9200,train accracy 1
step 9300,train accracy 1
step 9400,train accracy 1
step 9500,train accracy 0.98
step 9600,train accracy 1
step 9700,train accracy 0.98
step 9800,train accracy 1
step 9900,train accracy 0.98
step 10000,train accracy 1
step 10100,train accracy 1
step 10200,train accracy 0.98
step 10300,train accracy 1
step 10400,train accracy 1
step 10500,train accracy 1
step 10600,train accracy 0.98
step 10700,train accracy 0.96
step 10800,train accracy 1
step 10900,train accracy 1
step 11000,train accracy 1
step 11100,train accracy 1
step 11200,train accracy 1
step 11300,train accracy 0.98
step 11400,train accracy 1
step 11500,train accracy 1
step 11600,train accracy 0.98
step 11700,train accracy 1
step 11800,train accracy 1
step 11900,train accracy 1
step 12000,train accracy 0.98
step 12100,train accracy 1
step 12200,train accracy 1
step 12300,train accracy 1
step 12400,train accracy 1
step 12500,train accracy 1
step 12600,train accracy 1
step 12700,train accracy 1
step 12800,train accracy 1
step 12900,train accracy 1
step 13000,train accracy 1
step 13100,train accracy 1
step 13200,train accracy 1
step 13300,train accracy 1
step 13400,train accracy 1
step 13500,train accracy 0.98
step 13600,train accracy 1
step 13700,train accracy 1
step 13800,train accracy 1
step 13900,train accracy 1
step 14000,train accracy 1
step 14100,train accracy 1
step 14200,train accracy 0.98
step 14300,train accracy 1
step 14400,train accracy 1
step 14500,train accracy 1
step 14600,train accracy 1
step 14700,train accracy 1
step 14800,train accracy 1
step 14900,train accracy 0.98
step 15000,train accracy 1
step 15100,train accracy 1
step 15200,train accracy 1
step 15300,train accracy 1
step 15400,train accracy 1
step 15500,train accracy 1
step 15600,train accracy 1
step 15700,train accracy 1
step 15800,train accracy 1
step 15900,train accracy 1
step 16000,train accracy 1
step 16100,train accracy 1
step 16200,train accracy 1
step 16300,train accracy 1
step 16400,train accracy 1
step 16500,train accracy 1
step 16600,train accracy 1
step 16700,train accracy 1
step 16800,train accracy 1
step 16900,train accracy 1
step 17000,train accracy 1
step 17100,train accracy 1
step 17200,train accracy 1
step 17300,train accracy 1
step 17400,train accracy 1
step 17500,train accracy 1
step 17600,train accracy 1
step 17700,train accracy 1
step 17800,train accracy 1
step 17900,train accracy 1
step 18000,train accracy 0.98
step 18100,train accracy 1
step 18200,train accracy 1
step 18300,train accracy 1
step 18400,train accracy 1
step 18500,train accracy 0.98
step 18600,train accracy 1
step 18700,train accracy 1
step 18800,train accracy 1
step 18900,train accracy 0.98
step 19000,train accracy 1
step 19100,train accracy 1
step 19200,train accracy 1
step 19300,train accracy 1
step 19400,train accracy 1
step 19500,train accracy 1
step 19600,train accracy 1
step 19700,train accracy 1
step 19800,train accracy 1
step 19900,train accracy 1
train End!
0.9935
test accuracy: 0.9935.

Process finished with exit code 0

